,Fecha,Valor_oficial,Valor_blue,Brecha,Brecha %,Variacion brecha,Volat. % blue,Volat. $ blue,Volat. % oficial,Volat. $ oficial
1,2021-08-05,96.88,180.5,83.62,86.313,-0.03999999999999204,0.0%,0.0,0.041%,0.04
2,2021-08-06,96.91,178.5,81.59,84.192,-2.030000000000001,-1.108%,-2.0,0.031%,0.03
3,2021-08-09,97.0,179.0,82.0,84.536,0.4099999999999966,0.28%,0.5,0.093%,0.09
4,2021-08-10,97.03,178.0,80.97,83.448,-1.0300000000000011,-0.559%,-1.0,0.031%,0.03
5,2021-08-11,97.05,178.0,80.95,83.411,-0.01999999999999602,0.0%,0.0,0.021%,0.02
6,2021-08-12,97.08,178.5,81.42,83.869,0.46999999999999886,0.281%,0.5,0.031%,0.03
7,2021-08-13,97.11,182.0,84.89,87.416,3.469999999999999,1.961%,3.5,0.031%,0.03
8,2021-08-17,97.23,183.0,85.77,88.214,0.8799999999999955,0.549%,1.0,0.124%,0.12
9,2021-08-18,97.27,182.0,84.73,87.108,-1.039999999999992,-0.546%,-1.0,0.041%,0.04
10,2021-08-19,97.29,181.5,84.21,86.556,-0.5200000000000102,-0.275%,-0.5,0.021%,0.02
11,2021-08-20,97.32,182.0,84.68,87.012,0.4700000000000131,0.275%,0.5,0.031%,0.03
12,2021-08-23,97.41,182.0,84.59,86.839,-0.09000000000000341,0.0%,0.0,0.092%,0.09
13,2021-08-24,97.44,182.0,84.56,86.782,-0.030000000000001137,0.0%,0.0,0.031%,0.03
14,2021-08-25,97.48,181.5,84.02,86.192,-0.5400000000000063,-0.275%,-0.5,0.041%,0.04
15,2021-08-26,97.55,181.5,83.95,86.058,-0.06999999999999318,0.0%,0.0,0.072%,0.07
16,2021-08-27,97.57,182.0,84.43,86.533,0.480000000000004,0.275%,0.5,0.021%,0.02
17,2021-08-30,97.72,182.0,84.28,86.246,-0.15000000000000568,0.0%,0.0,0.154%,0.15
18,2021-08-31,97.75,182.0,84.25,86.189,-0.030000000000001137,0.0%,0.0,0.031%,0.03
19,2021-09-01,97.78,180.5,82.72,84.598,-1.5300000000000011,-0.824%,-1.5,0.031%,0.03
20,2021-09-02,97.83,181.0,83.17,85.015,0.45000000000000284,0.277%,0.5,0.051%,0.05
21,2021-09-03,97.87,182.0,84.13,85.961,0.9599999999999937,0.552%,1.0,0.041%,0.04
22,2021-09-06,97.95,182.0,84.05,85.809,-0.0799999999999983,0.0%,0.0,0.082%,0.08
23,2021-09-07,97.99,183.5,85.51,87.264,1.460000000000008,0.824%,1.5,0.041%,0.04
24,2021-09-08,98.02,187.0,88.98,90.777,3.469999999999999,1.907%,3.5,0.031%,0.03
25,2021-09-09,98.05,186.5,88.45,90.209,-0.5300000000000011,-0.267%,-0.5,0.031%,0.03
26,2021-09-10,98.1,185.0,86.9,88.583,-1.5499999999999972,-0.804%,-1.5,0.051%,0.05
27,2021-09-13,98.21,181.0,82.79,84.299,-4.109999999999999,-2.162%,-4.0,0.112%,0.11
28,2021-09-14,98.22,182.5,84.28,85.807,1.4899999999999949,0.829%,1.5,0.01%,0.01
29,2021-09-15,98.25,185.0,86.75,88.295,2.469999999999999,1.37%,2.5,0.031%,0.03
30,2021-09-16,98.31,186.0,87.69,89.197,0.9399999999999977,0.541%,1.0,0.061%,0.06
31,2021-09-17,98.35,185.0,86.65,88.104,-1.039999999999992,-0.538%,-1.0,0.041%,0.04
32,2021-09-20,98.48,184.0,85.52,86.84,-1.1300000000000097,-0.541%,-1.0,0.132%,0.13
33,2021-09-21,98.49,184.0,85.51,86.821,-0.009999999999990905,0.0%,0.0,0.01%,0.01
34,2021-09-22,98.51,185.0,86.49,87.798,0.9799999999999898,0.543%,1.0,0.02%,0.02
35,2021-09-23,98.52,185.0,86.48,87.779,-0.009999999999990905,0.0%,0.0,0.01%,0.01
36,2021-09-24,98.56,186.0,87.44,88.718,0.9599999999999937,0.541%,1.0,0.041%,0.04
37,2021-09-27,98.67,186.5,87.83,89.014,0.39000000000000057,0.269%,0.5,0.112%,0.11
38,2021-09-28,98.68,187.0,88.32,89.501,0.4899999999999949,0.268%,0.5,0.01%,0.01
39,2021-09-29,98.71,187.0,88.29,89.444,-0.029999999999986926,0.0%,0.0,0.03%,0.03
40,2021-09-30,98.74,186.0,87.26,88.374,-1.0300000000000011,-0.535%,-1.0,0.03%,0.03
41,2021-10-01,98.78,186.0,87.22,88.297,-0.04000000000000625,0.0%,0.0,0.041%,0.04
42,2021-10-04,98.89,185.0,86.11,87.077,-1.1099999999999994,-0.538%,-1.0,0.111%,0.11
43,2021-10-05,98.9,185.0,86.1,87.058,-0.010000000000005116,0.0%,0.0,0.01%,0.01
44,2021-10-06,98.92,185.5,86.58,87.525,0.480000000000004,0.27%,0.5,0.02%,0.02
45,2021-10-07,98.95,184.5,85.55,86.458,-1.0300000000000011,-0.539%,-1.0,0.03%,0.03
46,2021-10-12,99.1,185.0,85.9,86.68,0.3500000000000085,0.271%,0.5,0.152%,0.15
47,2021-10-13,99.13,185.0,85.87,86.624,-0.030000000000001137,0.0%,0.0,0.03%,0.03
48,2021-10-14,99.16,185.5,86.34,87.071,0.46999999999999886,0.27%,0.5,0.03%,0.03
49,2021-10-15,99.19,186.5,87.31,88.023,0.9699999999999989,0.539%,1.0,0.03%,0.03
50,2021-10-18,99.28,185.5,86.22,86.845,-1.0900000000000034,-0.536%,-1.0,0.091%,0.09
51,2021-10-19,99.31,187.0,87.69,88.299,1.4699999999999989,0.809%,1.5,0.03%,0.03
52,2021-10-20,99.34,188.0,88.66,89.249,0.9699999999999989,0.535%,1.0,0.03%,0.03
53,2021-10-21,99.37,191.0,91.63,92.211,2.969999999999999,1.596%,3.0,0.03%,0.03
54,2021-10-22,99.4,195.0,95.6,96.177,3.969999999999999,2.094%,4.0,0.03%,0.03
