,Fecha,Valor_oficial,Valor_blue,Brecha,Brecha %,Variacion brecha,Volat. % blue,Volat. $ blue,Volat. % oficial,Volat. $ oficial,Día,Semana,Periodo,Año
1,2021-08-04 00:00:00,96.84,180.5,83.66,86.39,-0.030000000000001137,0.0%,0.0,0.031%,0.03,2,31,202108,2021
2,2021-08-05 00:00:00,96.88,180.5,83.62,86.313,-0.03999999999999204,0.0%,0.0,0.041%,0.04,3,31,202108,2021
3,2021-08-06 00:00:00,96.91,178.5,81.59,84.192,-2.030000000000001,-1.108%,-2.0,0.031%,0.03,4,31,202108,2021
4,2021-08-09 00:00:00,97.0,179.0,82.0,84.536,0.4099999999999966,0.28%,0.5,0.093%,0.09,0,32,202108,2021
5,2021-08-10 00:00:00,97.03,178.0,80.97,83.448,-1.0300000000000011,-0.559%,-1.0,0.031%,0.03,1,32,202108,2021
6,2021-08-11 00:00:00,97.05,178.0,80.95,83.411,-0.01999999999999602,0.0%,0.0,0.021%,0.02,2,32,202108,2021
7,2021-08-12 00:00:00,97.08,178.5,81.42,83.869,0.46999999999999886,0.281%,0.5,0.031%,0.03,3,32,202108,2021
8,2021-08-13 00:00:00,97.11,182.0,84.89,87.416,3.469999999999999,1.961%,3.5,0.031%,0.03,4,32,202108,2021
9,2021-08-17 00:00:00,97.23,183.0,85.77,88.214,0.8799999999999955,0.549%,1.0,0.124%,0.12,1,33,202108,2021
10,2021-08-18 00:00:00,97.27,182.0,84.73,87.108,-1.039999999999992,-0.546%,-1.0,0.041%,0.04,2,33,202108,2021
11,2021-08-19 00:00:00,97.29,181.5,84.21,86.556,-0.5200000000000102,-0.275%,-0.5,0.021%,0.02,3,33,202108,2021
12,2021-08-20 00:00:00,97.32,182.0,84.68,87.012,0.4700000000000131,0.275%,0.5,0.031%,0.03,4,33,202108,2021
13,2021-08-23 00:00:00,97.41,182.0,84.59,86.839,-0.09000000000000341,0.0%,0.0,0.092%,0.09,0,34,202108,2021
14,2021-08-24 00:00:00,97.44,182.0,84.56,86.782,-0.030000000000001137,0.0%,0.0,0.031%,0.03,1,34,202108,2021
15,2021-08-25 00:00:00,97.48,181.5,84.02,86.192,-0.5400000000000063,-0.275%,-0.5,0.041%,0.04,2,34,202108,2021
16,2021-08-26 00:00:00,97.55,181.5,83.95,86.058,-0.06999999999999318,0.0%,0.0,0.072%,0.07,3,34,202108,2021
17,2021-08-27 00:00:00,97.57,182.0,84.43,86.533,0.480000000000004,0.275%,0.5,0.021%,0.02,4,34,202108,2021
18,2021-08-30 00:00:00,97.72,182.0,84.28,86.246,-0.15000000000000568,0.0%,0.0,0.154%,0.15,0,35,202108,2021
19,2021-08-31 00:00:00,97.75,182.0,84.25,86.189,-0.030000000000001137,0.0%,0.0,0.031%,0.03,1,35,202108,2021
20,2021-09-01 00:00:00,97.78,180.5,82.72,84.598,-1.5300000000000011,-0.824%,-1.5,0.031%,0.03,2,35,202109,2021
21,2021-09-02 00:00:00,97.83,181.0,83.17,85.015,0.45000000000000284,0.277%,0.5,0.051%,0.05,3,35,202109,2021
22,2021-09-03 00:00:00,97.87,182.0,84.13,85.961,0.9599999999999937,0.552%,1.0,0.041%,0.04,4,35,202109,2021
23,2021-09-06 00:00:00,97.95,182.0,84.05,85.809,-0.0799999999999983,0.0%,0.0,0.082%,0.08,0,36,202109,2021
