,index,Fecha,Evento,Tipo,Valor_oficial,Valor_blue,Brecha,Brecha %,Fecha_numerico
0,0,2012-08-13 00:00:00,Cepo al Dolar,misc,4.6,6.28,1.6800000000000006,36.522,734728
1,1,2013-11-18 00:00:00,Juan Carlos Fábrega,bcra,6.0,9.87,3.869999999999999,64.5,735190
2,2,2013-11-18 00:00:00,Axel Kicillof,econ,6.0,9.87,3.869999999999999,64.5,735190
3,3,2014-10-01 00:00:00,Alejandro Vanoli,bcra,8.45,15.64,7.190000000000001,85.089,735507
4,4,2015-12-10 00:00:00,Federico Sturzenegger,bcra,9.75,14.77,5.02,51.487,735942
5,5,2015-12-10 00:00:00,Alfonso Prat-Gay,fina,9.75,14.77,5.02,51.487,735942
6,6,2015-12-10 00:00:00,Mauricio Macri,pres,9.75,14.77,5.02,51.487,735942
7,7,2015-12-17 00:00:00,Levantamiento del Cepo al Dolar,misc,13.76,14.36,0.5999999999999996,4.36,735949
8,8,2017-01-10 00:00:00,Luis Caputo,fina,15.87,16.85,0.9800000000000022,6.175,736339
9,9,2017-01-10 00:00:00,Nicolas Dujovne,trea,15.87,16.85,0.9800000000000022,6.175,736339
10,10,2018-06-14 00:00:00,Luis Caputo,bcra,27.06,27.9,0.8399999999999999,3.104,736859
11,11,2018-09-25 00:00:00,Guido Sandleris,bcra,38.4,38.25,-0.14999999999999858,-0.391,736962
12,12,2019-07-01 00:00:00,Hernán Lacunza,trea,42.14,43.45,1.3100000000000023,3.109,737241
13,14,2019-12-10 00:00:00,Miguel Ángel Pesce,bcra,59.96,69.5,9.54,15.911,737403
14,15,2019-12-10 00:00:00,Martín Guzmán,econ,59.96,69.5,9.54,15.911,737403
15,16,2019-12-10 00:00:00,Alberto Fernández,pres,59.96,69.5,9.54,15.911,737403
16,17,2022-07-04 00:00:00,Silvina Batakis,econ,125.99,260.0,134.01,106.366,738340
17,18,2022-07-28 00:00:00,Sergio Massa,econ,131.13,314.0,182.87,139.457,738364
